it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
100	-14754.958505999517	-1974.9153879141325	-12780.043118085385	0.9449924127465857	0.547945205479452	0.9675732217573222	0.9344262295081968	0.890625	0.9464751958224543	0.9029535864978903	-0.025212071320293652	0.4335548291671792	-0.025004908141462067	0.34413747650949145	-0.031190103055324374	0.5451052016978437	-0.19970120428286614	1.1158851866299466	0.29	0
200	-14690.94315017884	-1911.0786975527883	-12779.864452626052	0.9438543247344461	0.5205479452054794	0.9633891213389121	0.941712204007286	0.890625	0.9386422976501305	0.9156118143459916	-0.025259809167866822	0.4335753221964919	-0.025017997608704594	0.3440685322312846	-0.03177187922924538	0.5447716774214315	-0.20034126875747604	1.1166963442571274	0.225	0
300	-14656.455606465359	-1876.1638281183948	-12780.291778346964	0.9411987860394537	0.547945205479452	0.9633891213389121	0.941712204007286	0.8984375	0.9347258485639687	0.8945147679324894	-0.025416219018656355	0.4336713045337915	-0.02484303125827063	0.34417486611408593	-0.031794488722651774	0.5445793733156498	-0.20056953242210723	1.1176635221927547	0.2	0
400	-14629.999824061386	-1849.1560723111154	-12780.84375175027	0.9423368740515933	0.5308219178082192	0.9644351464435147	0.9380692167577414	0.890625	0.9425587467362925	0.890295358649789	-0.02530177315639198	0.4337919617561325	-0.024819973489632347	0.3442184926956791	-0.032001716930293696	0.5447506806112893	-0.19753147376156582	1.1189061486036773	0.175	0
500	-14621.564165134025	-1840.8701008268454	-12780.69406430718	0.9393019726858877	0.523972602739726	0.9581589958158996	0.9471766848816029	0.8984375	0.9268929503916449	0.9071729957805907	-0.025423222219411307	0.43396487098190417	-0.024725851639400134	0.34416215780140097	-0.032112049743079955	0.5445702969843925	-0.1973031519030386	1.1160161403516846	0.156	0
600	-14602.714042685395	-1822.299192675907	-12780.414850009487	0.9374051593323217	0.5205479452054794	0.9602510460251046	0.936247723132969	0.890625	0.9295039164490861	0.8987341772151899	-0.025651728242128177	0.4339274958339726	-0.024776473302389797	0.3441811763675896	-0.03205803491615703	0.5444970338295212	-0.19665532626504728	1.1141577897182613	0.14833333333333334	0
700	-14572.25839868894	-1791.62134762753	-12780.63705106141	0.9370257966616085	0.5171232876712328	0.9581589958158996	0.9216757741347905	0.8984375	0.9360313315926893	0.9113924050632911	-0.025696076479418736	0.4339985887917588	-0.024964295221752433	0.34421317621544906	-0.032237717036278354	0.5444174899631148	-0.19786057071954147	1.1139477855040207	0.13857142857142857	0
800	-14565.799231984918	-1785.2203133081584	-12780.57891867676	0.9347496206373292	0.4897260273972603	0.9571129707112971	0.9234972677595629	0.890625	0.9281984334203656	0.9156118143459916	-0.02564653779700083	0.43409838694123803	-0.024945994365393753	0.3441951770567519	-0.032237251163614485	0.5440630976881677	-0.1981042083488377	1.1137806040316436	0.12875	0
900	-14549.681442545909	-1768.843811506218	-12780.83763103969	0.9396813353566009	0.5068493150684932	0.9571129707112971	0.9253187613843351	0.8984375	0.9412532637075718	0.919831223628692	-0.02577963734008127	0.4343117252706096	-0.024929003348445476	0.3440236815010719	-0.03211150071134565	0.5441673760755267	-0.19861671465564348	1.1139892328656313	0.12555555555555556	0
1000	-14515.111687918105	-1733.7541948281694	-12781.357493089936	0.9423368740515933	0.5171232876712328	0.9581589958158996	0.9380692167577414	0.8984375	0.9425587467362925	0.9113924050632911	-0.025714666769479234	0.43445633289811053	-0.02508696781613791	0.34412447508688077	-0.03241126148892189	0.5443554075485014	-0.19666441911220364	1.1127504927681995	0.125	0
1100	-14511.600291093127	-1730.45442793403	-12781.145863159098	0.9355083459787557	0.523972602739726	0.9654811715481172	0.9162112932604736	0.8984375	0.9255874673629243	0.9113924050632911	-0.02570945637799479	0.4344359325583308	-0.02505401237338728	0.3441094960674925	-0.03268799813813132	0.5442111903475396	-0.19497125907337481	1.1126550248146467	0.1190909090909091	0
