it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
100	-7694.1709253570525	-4099.278543989058	-3594.892381367995	0.38800904977375567	0.40893470790378006	0.6144329896907217	0.0055248618784530384	0.0	0.5613577023498695	0.0	-0.0015004732149708488	0.10169249589321662	-0.0008473242120802556	0.10371972331335674	-0.018430945130431902	0.09566367992255244	0.65	0
200	-7496.846435260353	-3901.3842283022414	-3595.4622069581114	0.3691553544494721	0.36769759450171824	0.9938144329896907	0.0	0.0	0.0195822454308094	0.0	-0.0007485320848385744	0.1030110126062645	0.00037643355041914426	0.10547890568253215	-0.023461030204640503	0.09972099272032897	0.635	0
300	-7382.349794937997	-3786.4164229413745	-3595.9333719966226	0.36726998491704377	0.36769759450171824	1.0	0.0	0.0	0.005221932114882507	0.0	-0.0004663359614738031	0.10437817284860312	0.0010543164052026293	0.1054584354408398	-0.025728935974727293	0.10182677705534164	0.6133333333333333	0
400	-7293.62650005949	-3697.1420045790783	-3596.4844954804125	0.36576168929110103	0.36769759450171824	1.0	0.0	0.0	0.0	0.0	-0.0007392322915971913	0.10559228967074766	0.001440567730077893	0.10732048313531282	-0.0275309931768927	0.10493302590814577	0.625	0
500	-7254.367751124984	-3656.980979820357	-3597.386771304628	0.36576168929110103	0.36769759450171824	1.0	0.0	0.0	0.0	0.0	-0.0005881187890592432	0.10773504590089358	0.0022819547298548277	0.10924013310479135	-0.02582594698103169	0.11206732480577009	0.632	0
600	-7212.689321592566	-3614.7119640314054	-3597.9773575611603	0.3706636500754148	0.36769759450171824	1.0	0.0	0.0	0.016971279373368148	0.0	-0.0005059087585694262	0.10918641163321835	0.0027066793957826038	0.11061157490607806	-0.025969100559282286	0.11016451341950273	0.6283333333333333	0
700	-7176.946854366344	-3578.3795167170138	-3598.567337649331	0.41365007541478127	0.41237113402061853	0.9845360824742269	0.0	0.0	0.185378590078329	0.0	-0.0006650286318313542	0.11042522115408797	0.002627357996488298	0.11237565764183961	-0.02647694838354891	0.11555122301407285	0.6257142857142857	0
800	-7140.712784217303	-3541.2873706686814	-3599.425413548622	0.4660633484162896	0.4639175257731959	0.9278350515463918	0.0	0.0	0.4386422976501306	0.0	-0.0006839933092651719	0.112385023865997	0.0021594901007725917	0.114186778397863	-0.02743608997409944	0.12011998209272096	0.6275	0
900	-7117.7347815145895	-3517.641723164324	-3600.093058350266	0.4852941176470588	0.48109965635738833	0.8587628865979381	0.0	0.0	0.5926892950391645	0.0	-0.0006439965112949263	0.11404169931582708	0.0024817786083332983	0.11531867443300092	-0.02620984400659536	0.11730759146121096	0.6211111111111111	0
1000	-7078.205499875972	-3477.5592528027464	-3600.6462470732263	0.5003770739064857	0.48109965635738833	0.845360824742268	0.0	0.0	0.6618798955613577	0.0	1.2129517268276452e-05	0.11523483661176867	0.001934769123870711	0.11707855949283538	-0.022449696245539857	0.11615915945638612	0.623	0
