0.04	0.25	0.65	0.3	0.305	0.15	0.6	0.25	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0
0.1	0.18	1	0.145	0.165	0.285	0.425	0.45	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0
0.115	0.295	0.45	0.235	0.28	0.065	0.8	0.35	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1
0.05	0.215	0.35	0.17	0.315	0.13	0.8	0.4	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1
0.05	0.18	0.4	0.235	0.3	0.15	0.75	0.35	1	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0
0.115	0.375	0.35	0.5	0.29	0.165	0.85	0.6	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0
0.115	0.3	0.85	0.395	0.215	0.13	0.5	0.4	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0
0.175	0.475	0.3	0.575	0.23	0.13	0.8	0.35	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	1	0
0.2	0.195	0.507	0.41	0.25	0.15	0.6	0.4	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1
0.04	0.225	0.4	0.24	0.31	0.165	0.7	0.45	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
0.2	0.16	0.8	0.25	0.275	0.165	0.65	0.45	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0
0.135	0.15	0.7	0.19	0.2	0.14	0.65	0.334	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1
0.05	0.45	0.6	0.65	0.28	0.11	0.8	0.4291	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0
0.04	0.3	0.65	0.4	0.26	0.14	0.7	1.2	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1
0.55	0.24	0.4	0.35	0.18	0.385	0.6	0.4	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0
0.025	0.25	0.35	0.25	0.27	0.165	0.6	0.401766667	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0
0.065	0.325	0.4	0.35	0.385	0.165	0.95	0.518866667	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0
0.225	0.105	0.3	0.1	0.23	0.135	0.55	0.35	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1
0.175	0.2	0.673333333	0.35	0.24	0.12	0.6	0.4	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	1
0.11	0.175	0.55	0.1	0.25	0.15	0.55	0.25	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0
0.15	0.21	0.8	0.215	0.235	0.085	0.75	0.369	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1
0.15	0.1808	0.63	0.190033333	0.2269	0.125083333	0.6485	0.302333333	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1
0.05	0.26	0.2	0.21	0.325	0.16	0.55	0.4	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0
0.08	0.275	0.35	0.185	0.3	0.085	0.691	0.3	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0
0.075	0.13	0.45	0.12	0.275	0.13	0.6	0.35	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1
0.04	0.22	0.25	0.265	0.35	0.12	0.55	0.499666667	1	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0
0.105	0.23	0.4	0.135	0.225	0.12	0.575	0.4	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0
0.105	0.23	0.4	0.155	0.275	0.12	0.575	0.4	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0
0.24	0.135	0.6	0.425	0.295	0.29	0.65	0.45	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1
0.1	0.2	0.55	0.12	0.3	0.155	0.55	0.45	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1
0.08	0.125	0.6	0.12	0.225	0.13	0.572333333	0.35	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1
0.125	0.25	0.35	0.165	0.32	0.15	0.6	0.5	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0
0.1	0.375	0.55	0.5	0.2	0.085	0.55	0.25	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0
0.08	0.29	0.8	0.5	0.2	0.15	0.65	0.4	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0
0.15	0.2	0.540333333	0.23	0.215	0.12	0.7	0.370366667	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1
0.05	0.33	0.35	0.2	0.225	0.125	0.9	0.4002	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1
0.085	0.17	0.8	0.11	0.19	0.08	0.45	0.2	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1
0.275	0.35	0.8	0.375	0.4	0.475	0.55	0.35	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0
0.11	0.195	0.45	0.135	0.29	0.14	0.45	0.4391	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0
